C2LoUyrEktj1EsTz17rdknoFIKBS    I35Pq2kftl3 Weighting value: {'letters': 31, 'digits': 8, 'space': 4, 'other': 0}
9msppJOoOP   hpDhnbVqXUv9nAfzg39w5A Weighting value: {'letters': 27, 'digits': 5, 'space': 3, 'other': 0}
bovyCHv3jQKV3rv Weighting value: {'letters': 13, 'digits': 2, 'space': 0, 'other': 0}
sjpvYek14CJsuN6vzP0TgJLTBQKAaDQNzc2xzs Weighting value: {'letters': 33, 'digits': 5, 'space': 0, 'other': 0}
kkfKL9XFBH5zQHupJfY Weighting value: {'letters': 17, 'digits': 2, 'space': 0, 'other': 0}
jDRXDaLeT     zUmbtQnelkMV7M5LiGaUOFqODnZsy Weighting value: {'letters': 36, 'digits': 2, 'space': 5, 'other': 0}
6IU    RjE   pqNBa59v5dbKcUzr     fKpijChG  g Weighting value: {'letters': 27, 'digits': 4, 'space': 14, 'other': 0}
mogjHaGAclyDTHTlibHqQmObqUqce4yr8OFybs01Bpi Weighting value: {'letters': 39, 'digits': 4, 'space': 0, 'other': 0}
MpdAJsV   UfHRU5Z9KX5PiNnMJToHV Weighting value: {'letters': 25, 'digits': 3, 'space': 3, 'other': 0}
59wQAygRid6laKwy Weighting value: {'letters': 13, 'digits': 3, 'space': 0, 'other': 0}
449s8oBIM2QrTiMcBp2r1rwhiAga     cPV Weighting value: {'letters': 24, 'digits': 7, 'space': 5, 'other': 0}
3s6c   lew794    8U9aZ5NC Weighting value: {'letters': 10, 'digits': 8, 'space': 7, 'other': 0}
o6tFG2Ek3AZyjDcpHIWOUBO6IuRv0zPqz2FL5mhHq9 Weighting value: {'letters': 34, 'digits': 8, 'space': 0, 'other': 0}
P7TDajd3FMcAvCv   db90DITSRP   ExYlh0GW69OH Weighting value: {'letters': 30, 'digits': 7, 'space': 6, 'other': 0}
TRQyj1yGwyYAA   0ryuJDErT6NdAWPIRIWfFjLDLI Weighting value: {'letters': 36, 'digits': 3, 'space': 3, 'other': 0}
3G0GNb2Rjalzagp7b   q2pR6coEwyQkAW0qFPVJRxTO Weighting value: {'letters': 34, 'digits': 7, 'space': 3, 'other': 0}
fAobs1DUpKuh   fNbNWE3w Weighting value: {'letters': 18, 'digits': 2, 'space': 3, 'other': 0}
m3j     Kwg    OnXhbKuSKs84IsKLkwCq2WoQCA   5 Weighting value: {'letters': 28, 'digits': 5, 'space': 12, 'other': 0}
D2XjKSeMd7P32WzAM9Tn0kOGIp8 Weighting value: {'letters': 20, 'digits': 7, 'space': 0, 'other': 0}
DZ    AabVbDkVi0hID6dWd5vkEenv Weighting value: {'letters': 23, 'digits': 3, 'space': 4, 'other': 0}
tpuGq2fsSjZFom3   ggDsJRWKam    pWfRaJSXBdgJQ Weighting value: {'letters': 36, 'digits': 2, 'space': 7, 'other': 0}
uKjOcM   fj5K2 Weighting value: {'letters': 9, 'digits': 2, 'space': 3, 'other': 0}
6Jar   DDpbQNT2RK Weighting value: {'letters': 12, 'digits': 2, 'space': 3, 'other': 0}
WgkCjfzL61WKTxr   HMC21MzPWCw4ovpk    zp Weighting value: {'letters': 28, 'digits': 5, 'space': 7, 'other': 0}
VaCg7HNK0jNkKX2dCQO5Vqpukb9Mrhq3S8R82hdjo Weighting value: {'letters': 32, 'digits': 9, 'space': 0, 'other': 0}
I2jVA   xTpr0eRviWsv0o3RwJ7FILlCUQy0 Weighting value: {'letters': 27, 'digits': 6, 'space': 3, 'other': 0}
8yk4AI8    Awp0   541OL1sx5iXfS9d56xNDDE    D Weighting value: {'letters': 22, 'digits': 12, 'space': 11, 'other': 0}
srt6a   MmeA0fbX     7qhq0     e4m    D0G1j1d Weighting value: {'letters': 20, 'digits': 8, 'space': 17, 'other': 0}
SIxwgDkrEmDIgnxkulO6Em2r2BfwOP1q331sGDo3 Weighting value: {'letters': 32, 'digits': 8, 'space': 0, 'other': 0}
yXko   Ob     7   qAKTMZeZgyV   l Weighting value: {'letters': 18, 'digits': 1, 'space': 14, 'other': 0}
CFdoJsGAxVNbHX5Mue1   FRD Weighting value: {'letters': 20, 'digits': 2, 'space': 3, 'other': 0}
pZxhfQ0ue9ZvoTJP1OUmCQRXa   zDJSq    BQIoTu Weighting value: {'letters': 33, 'digits': 3, 'space': 7, 'other': 0}
E0X7Q5GJXLWynj1X18zsfF8E   Arr999sHyOZ8N6ybpQ Weighting value: {'letters': 30, 'digits': 12, 'space': 3, 'other': 0}
IeHnpX2G2YCnbSZwD4Q3zQ7qpEa1d    Pqh0VDsuMh9q Weighting value: {'letters': 33, 'digits': 8, 'space': 4, 'other': 0}
TgQFXXpPEiW0VMSEZ Weighting value: {'letters': 16, 'digits': 1, 'space': 0, 'other': 0}
1yqBn7yhfelMwjjek3Qh Weighting value: {'letters': 17, 'digits': 3, 'space': 0, 'other': 0}
9e22uvmq2BL3     ehWOm614EuB7R7r5uNu8QM6lPjLn Weighting value: {'letters': 27, 'digits': 13, 'space': 5, 'other': 0}
t8B3lQHF3Lw     zL3GZ   8yk Weighting value: {'letters': 14, 'digits': 5, 'space': 8, 'other': 0}
IlGC2QLS4UUe     v     23     9 Weighting value: {'letters': 11, 'digits': 5, 'space': 15, 'other': 0}
QCoQ8koMuVLGUtmH67lokFK Weighting value: {'letters': 20, 'digits': 3, 'space': 0, 'other': 0}
9W9Ah1wtFiW3WsqipNwGsS7GLDZ Weighting value: {'letters': 22, 'digits': 5, 'space': 0, 'other': 0}
kUjTYhpmj90Nouf5EVqSyy4kXqOQTu2  l Weighting value: {'letters': 27, 'digits': 5, 'space': 2, 'other': 0}
bgkIWao9wFd2WiuR1Z     bNNoI9KRHyj Weighting value: {'letters': 25, 'digits': 4, 'space': 5, 'other': 0}
Hzt4kos6XtFfLWTkYZoUWDQAdHBSS4r5ZJN Weighting value: {'letters': 31, 'digits': 4, 'space': 0, 'other': 0}
en   6Fz836a   NkqHzyiSUS7xYZqnBVPFtcnOVPwik9 Weighting value: {'letters': 33, 'digits': 6, 'space': 6, 'other': 0}
8Trn0jlsoAKF14Yv6pZWLvfB2h Weighting value: {'letters': 20, 'digits': 6, 'space': 0, 'other': 0}
ecfnD48LGQg9BuEE08     yv     WQfbh Weighting value: {'letters': 20, 'digits': 5, 'space': 10, 'other': 0}
pCOpJX0NnS5WFD     Su Weighting value: {'letters': 14, 'digits': 2, 'space': 5, 'other': 0}
vvDpYhz2CivWa1HbjL4NTuNBU0nH Weighting value: {'letters': 24, 'digits': 4, 'space': 0, 'other': 0}
1JsRubZvLgDgNklOYAmp27     Ez7lurTkDz9SZYoT Weighting value: {'letters': 33, 'digits': 5, 'space': 5, 'other': 0}
B7k7UjqC2ca84   M94Yg Weighting value: {'letters': 11, 'digits': 7, 'space': 3, 'other': 0}
dVbECH6zxzjtS9AGoVx16YTihtWq9 Weighting value: {'letters': 24, 'digits': 5, 'space': 0, 'other': 0}
Qpk   D    5sq   DyKSkN Weighting value: {'letters': 12, 'digits': 1, 'space': 10, 'other': 0}
sb8fA6wZWINa9dbd5w4AUgZi0CIMZ0hmqdsZ Weighting value: {'letters': 29, 'digits': 7, 'space': 0, 'other': 0}
RpFD   45q1f     rmlNOTNNeU15G Weighting value: {'letters': 17, 'digits': 5, 'space': 8, 'other': 0}
5fe1C2CnE9DKCp6CaAGfMoODX8PDWUiYO3WHx7   x Weighting value: {'letters': 31, 'digits': 8, 'space': 3, 'other': 0}
2itOgTnPHerS4jcyEt2cfCpLSZysUv   dZDBDerIZkw Weighting value: {'letters': 38, 'digits': 3, 'space': 3, 'other': 0}
JK82K9M3U   xhffGim2J4AfBbkmJA     E3AbNObkV Weighting value: {'letters': 29, 'digits': 7, 'space': 8, 'other': 0}
qUQP3nl1rdrYy6JRqcyOVfdPJaAXuu   5c3HL2oftoE Weighting value: {'letters': 35, 'digits': 6, 'space': 3, 'other': 0}
Myb20kEAhwJGy7eB6 Weighting value: {'letters': 13, 'digits': 4, 'space': 0, 'other': 0}
FZ21AON   r0kgdJS   x5Y Weighting value: {'letters': 13, 'digits': 4, 'space': 6, 'other': 0}
l5ADaxRP00MFjZpOWtcluGp Weighting value: {'letters': 20, 'digits': 3, 'space': 0, 'other': 0}
YJQt     8ez9Vc    mmHoCXEUGMh1 Weighting value: {'letters': 19, 'digits': 3, 'space': 9, 'other': 0}
ACSCCrFS4AH3rqSeg9PQWjLhdkLupp    TiGBf3sa9YQ Weighting value: {'letters': 36, 'digits': 5, 'space': 4, 'other': 0}
Ja3CS3Xf177mu     a2jkSVuqXdTDw4uSrvL Weighting value: {'letters': 25, 'digits': 7, 'space': 5, 'other': 0}
rpKhP7pMbkyX   9kDp0tgiLfrAGcq9all1ovv3 Weighting value: {'letters': 30, 'digits': 6, 'space': 3, 'other': 0}
3yfPV25uRIBPw5QkuuoTp4    lZpLQbH Weighting value: {'letters': 24, 'digits': 5, 'space': 4, 'other': 0}
N3UqMC5xrtuRStxd    VhkmMYla Weighting value: {'letters': 22, 'digits': 2, 'space': 4, 'other': 0}
Y2ZAi     6EDHoumYoZ2sAoTAgkG1XvYK2WFKLR0   Q Weighting value: {'letters': 31, 'digits': 6, 'space': 8, 'other': 0}
1cuf5QAh     8KrmlFCYtVFdKrxWG7H6Otcw4hOrszQq Weighting value: {'letters': 34, 'digits': 6, 'space': 5, 'other': 0}
eaR4     oqofx7xHZ Weighting value: {'letters': 11, 'digits': 2, 'space': 5, 'other': 0}
JH4kLa   CfDlQVST Weighting value: {'letters': 13, 'digits': 1, 'space': 3, 'other': 0}
L4JN4u85kdVm7Jp6x53tHiWM Weighting value: {'letters': 16, 'digits': 8, 'space': 0, 'other': 0}
JrGCHU2zQMCUGQrM Weighting value: {'letters': 15, 'digits': 1, 'space': 0, 'other': 0}
aNW1VZjJn3   Sn Weighting value: {'letters': 10, 'digits': 2, 'space': 3, 'other': 0}
i7oe5Vikjh Weighting value: {'letters': 8, 'digits': 2, 'space': 0, 'other': 0}
CshpCg1l7ByyjA    BUMf Weighting value: {'letters': 16, 'digits': 2, 'space': 4, 'other': 0}
